id,city,zip,street,lat,lon,created_at,updated_at
573,Porterville,93257,329 E. Olive Avenue,36.0649198,-119.0092382,2012-10-23 04:11:41,2012-10-23 04:11:41
574,Paso Robles,93446,841 Park Street,35.6232836,-120.6898116,2012-10-23 04:11:38,2012-10-23 04:11:38
575,Taft,93268,165 Center Street,35.139516,-119.4544417,2012-10-23 04:12:04,2012-10-23 04:12:04
576,Bell Gardens,90201,6801 South Garfield,33.9700898,-118.1490762,2012-10-23 04:10:49,2012-10-23 04:10:49
577,Ridgecrest,93555,540A Perdew Avenue,35.649187,-117.680642,2012-10-23 04:11:45,2012-10-23 04:11:45
578,Indio,92201,44480 Jackson Street,33.726236,-116.215676,2012-10-23 04:11:16,2012-10-23 04:11:16
579,Hayward,94544,150 Jackson Street,37.659465,-122.087835,2012-10-23 04:11:14,2012-10-23 04:11:14
580,Clovis,93611,2103 Shaw Avenue,36.8087264,-119.6765211,2012-10-23 04:10:54,2012-10-23 04:10:54
581,Compton,90221,2111 South Santa Fe Avenue,33.8762619,-118.215185,2012-10-23 04:10:55,2012-10-23 04:10:55
582,Barstow,92311,528 East Virginia Way,34.8878618,-117.0227101,2012-10-23 04:10:48,2012-10-23 04:10:48
583,Watsonville,95076,90 Alta Vista Avenue,36.9273,-121.768216,2012-10-23 04:12:13,2012-10-23 04:12:13
584,Needles,92363,1040 E Broadway St,34.8230507,-114.5976323,2012-10-23 04:11:30,2012-10-23 04:11:30
585,Bishop,93514,1115 West Line Street,37.3616689,-118.411647,2012-10-23 04:10:50,2012-10-23 04:10:50
586,Norco,92860,3201 Horseless Carriage Drive,33.928259,-117.561419,2012-10-23 04:10:42,2012-10-23 04:10:42
587,Arleta,91331,14400 Van Nuys Blvd.,34.2472885,-118.4478958,2012-10-23 04:10:43,2012-10-23 04:10:43
588,Vacaville,95687,621 Orange Drive,38.3782665,-121.9445308,2012-10-23 04:12:09,2012-10-23 04:12:09
589,Lompoc,93436,209 W. Pine Ave.,34.65077,-120.459646,2012-10-23 04:11:22,2012-10-23 05:02:56
